Hearing_group,Species,Species_group,Study,Area,Source,Sound_source,Sound_source_position,Sound_source_depth,Frequency_reported,Duration,RL,RL_unit,RL_measured_or_estimated,Source_range,Number_individuals,Sex,Age_yr,PriorBehavior,Behavioural_response,Highest_severity_scale ,Behavior2,Displacement_avoidance ,Acoustic_change_type
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,120,rms,Estimated,,1,Male,16,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",,,Not measured/reported,Not measured/reported
Mid-frequency,Bottlenose dolphin,Dolphin,Weaver et al. 2015,"Florida, US",Continuous,Construction,Stationary,,,,,,,,28,Male,,,Male sighting probabilities remained constant across construction (8 year-period): Male sightings did not change across construction.,0,Low,Not-avoidance,Not measured/reported
Mid-frequency,Bottlenose dolphin,Dolphin,Weaver et al. 2015,"Florida, US",Continuous,Construction,Stationary,,,,,,,,40,Female,,,Female sighting probabilities changed across construction (8 year-period): Female sightings showed a significant linear decline across construction.,8,Very high,Avoidance,Not measured/reported
Low-frequency,Humpback whale,Mysticetes,Baker et al. 1982,,Continuous,Vessel ,Moving,,,,140,rms,Estimated,,,,,,,6,High,Avoidance,Not measured/reported
Low-frequency,Humpback whale,Mysticetes,McCauley et al. 1996,,Continuous,Vessel ,Moving,,,,130,rms,Measured,,,,,,,6,High,Avoidance,Not measured/reported
Low-frequency,Humpback whale,Mysticetes,Frankel and Clark 1998,"Hawaii, US",LFAS,Low Frequency Sonar,Stationary,10 - 80 m,centered at 75 Hz with a 30-Hz bandwidth,25 min per session,130,rms,Measured,~100 - 2000 m,,,,Socializing ,"No overt changes in behaviour during the playbacks. No difference in whale tracks and bearings, slight increase in the duration and distance between successive surfacings (presence of vessels had a greater effect on whales than did the playback; blow rate and surface blow rate decreased in the presence of larger vessels).",4,Moderate,Not-avoidance,Not measured/reported
Low-frequency,Humpback whale,Mysticetes,Frankel and Clark 2000,"Hawaii, US",LFAS,Low Frequency Sonar,Stationary,,75 Hz,"Sessions of 25 min, repeated at 2-h intervals over an 8-h period",130,rms,Both,8–12 km,,,,Traveling,Distance and time between successive surfacings of humpbacks increased slightly with an increase in estimated received ATOC sound level (simillar as Frankel and Clark 2000). Whales did not abandon the area and returned the following year.,4,Moderate,Not-avoidance,Not measured/reported
Low-frequency,Humpback whale,Mysticetes,Frankel and Clark 2002,"Hawaii, US",LFAS,Low Frequency Sonar,Stationary,,75 Hz,,,,,8–12 km,,,,,"Transmissions did not seem to affect the abundance of humpback whales; there was some indication indication of a small effect of the ATOC source on whale distribution: slight but statistically significant increases in distance from the ATOC source while transmitting, as well as a slight eastward distributional change.",6,High,Avoidance,Not measured/reported
Low-frequency,Humpback whale,Mysticetes,Mobley 2005,"Hawaii, US",LFAS,Low Frequency Sonar,Stationary,,,20-min transmissions per day spaced 4 hours apart,,,,within 40 km,366,,,,No changes in the abundance nor distribution of humpback whales.,,,Not-avoidance,Not measured/reported
Low-frequency,Humpback whale,Mysticetes,Calambokidis 1998 in Mobley 2005,"California, US",LFAS,Low Frequency Sonar,Stationary,,,,,,,14 - 16 km,207,,,,"Shift in distribution of whales away from  ATOC sound source when active (according with Mobley 2005, the whales in this study were exposed to higher received levels of sound compared with whales in Hawaii in Mobley 2005, given that the noise source levels of both studies were the same but distances were smaller in California). ",6,High,Avoidance,Not measured/reported
Low-frequency,Humpback whale,Mysticetes,Maybaum 1993 in SMRU 2007,,MFAS,Mid-frequency sonar,Moving,,3 kHz,,,,,,,,,,Whale were observed swimming directly away from the sonar source at an increased speed in a straight line. There was not effect on vocalisations or diving behaviour.,7,High,Avoidance,No change
Pinnipeds,Ringed seal,Pinnipeds (in water),"Moulton et al. 2003, 2005","Alaska, US",Continuous,Construction,Stationary,,,,,,,,,,,,"The presence of industrial activities did not affected local distribution and density of seals. The study suggested that some individual ringed seals, including breeding females, tolerate much construction activity. There might be some local reduced seal density from Vibroseis seismic activity but this is conflated with environmental factors. ",0,Low,Not-avoidance,Not measured/reported
Pinnipeds,Harbor seal,Pinnipeds (in water),Jacobs & Terhune 2002,"Bay of Fundy, Canada",Acoustic alarm,Acoustic alarm,Stationary,,9 - 11 kHz,2 msec (ramp-up time of 70 s),164,peak or peak-to-peak,Measured,45 m,,,,,No behavioural reactions were observed. ,0,Low,Not-avoidance,Not measured/reported
Pinnipeds,Ringed seal,Pinnipeds (in water),Frost & Lowry 1988,,Continuous,Drilling,Stationary,,,,,,,,,,,,,,,,
Pinnipeds,Ringed and bearded seal,Pinnipeds (in water),Richardson et al. 1995 (Richardson et al. 1990b in Southall et al. 2007 presents the first phase; Richardson et al. 1991 presents the second phase),"Alaska, US",Continuous,Drilling,Stationary,,,,,,,,,,,,,,,,
Pinnipeds,Harbor seal,Pinnipeds (in water),Yurk and Trites 2000,"British Columbia, Canada",Acoustic alarm,Acoustic alarm,Stationary,,"Broadband signals that
pitched at 27 kHz (max source intensity
at 10 kHz)",,,,,50m radius,Max 13 per night,,,Foraging,Less number of seals observed in the area when deterrent was active.,6,High,Avoidance,Not measured/reported
Pinnipeds,Harbor seal,Pinnipeds (in water),Koschinski et al. 2003,"British Columbia, Canada",Continuous,Wind turbine,Stationary,,30 - 800 Hz (max energy),,,,,,Several,,,,"Distance of seal surfacing from the sound source increased significantly during playback, seals increased their median distance to the sound source when surfacing. ",6,High,Avoidance,Not measured/reported
Pinnipeds,Harbor seal,Pinnipeds (in water),Andersen et al. 2012,"Anholt seal reserve, Denmark",Continuous,Vessel ,Moving,,,,,,,200-425 m,,,,,Seals were alerted and began to flee with boat presence. Weaker and shorter-lasting responses occurred during the breeding season.,6,High,Avoidance,Not measured/reported
Pinnipeds,Harbor seal,Pinnipeds (in water),Deecke et al. 2002,"off southern British Columbia, Canada",Biological,Calls of resident and transient killer whales,Moving,,,1-min sequences,,,,,,,,,The number of seals visible at the surface chnaged during the plyabacks of killer whale sounds. Less responses were observed when familiar fish-eating killer whales playbacks than to mammal eating killer whales and unfamiliar fish eating killer whales. ,,,Not-avoidance,Not measured/reported
Mid-frequency,Beluga whale,Beluga,Awbrey and Stewart 1983 in Southall et al. 2007,"Alaska, US",Continuous,Drilling,Stationary,,,,150,Not explicit,Estimated,< 1.5 km to 3.5 km,Several,,,,Visual observation of individual and group movements and behavioral patterns during exposure and control trials. Whales swam away when less than 1.5 km from the source; whales continued to approach sound source when at least 3.5 km from the noise.,6,High,Avoidance,Not measured/reported
Mid-frequency,Beluga whale,Beluga,Richardson et al. 1995 (Richardson et al. 1990b in Southall et al. 2007 presents the first phase; Richardson et al. 1991 presents the second phase),"Alaska, US",Continuous,Ship and ice-breaking,Stationary,,,,140,rms,Estimated,,17 groups,,,,"At least six groups appeared to alter their paths in response to playbacks. As in the drilling noise playbacks, however, white whales approached within a few hundreds (and sometimes tens) of meters before showing any response. At these distances received levels at frequencies below 1000 Hz were high, but below the hearing threshold at corresponding frequencies. However, white whales within a few hundred meters of the projectors probably could hear, at least faintly, higher frequency components of the projected sounds.",5,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Beluga whale,Beluga,Richardson et al. 1995 (Richardson et al. 1990b in Southall et al. 2007 presents the first phase; Richardson et al. 1991 presents the second phase),"Alaska, US",Continuous,Drilling,Stationary,,,,130,rms,Estimated,200 - 400,265,,,,"Found no obvios reactions over an large area sampled. Moderate behavioural changes were noticed for three groups within 200m of the playback. that playbacks of sounds from drilling on a bottom-founded ice platform like Karluk have no biologically significant effects on migration routes and spatial distribution of white whales visible while migrating through pack ice and along the seaward side of the nearshore lead east of Point Barrow in spring. Furthermore, we expect that maximum reaction distances of white whales to an actual drill site like Karluk (a few hundred meters) would be similar to those observed during the playback experiments. In drawing these conclusions, we consider that the observed temporary hesitation and minor changes in migration paths exhibited by some white whales within 200-400 m of the noise source were not biologically significant.",4,Moderate,Not-avoidance,Not measured/reported
Low-frequency,Bowhead whale,Mysticetes,Richardson et al. 1995 (Richardson et al. 1990b in Southall et al. 2007 presents the first phase; Richardson et al. 1991 presents the second phase),"Alaska, US",Continuous,Drilling,Stationary,,20 - 1000 Hz,,140,rms,Estimated,1 km,221,,,Traveling,"Migrating bowheads tolerated exposure to high levels of continuous drilling noise if this was necessary to continue their migration. Bowhead migration was not blocked by projected drilling sounds, and there was no evidence that bowheads avoided the projector by distances exceeding 1 km (0.54 n.mi.). However, local movement patterns and various aspects of the behavior of these whales were affected by the noise exposure, sometimes at distances considerably exceeding the closest points of approach of bowheads to the operating projector. When ice was loose, some migrating bowheads diverted their courses enough to remain a few hundred meters to the side of the projector. Surfacing and respiration behavior, and the occurrence of turns during surfacings, were strongly affected out to 1 km. Turns were unusually frequent out to 2 km (1.1 n.mi), and there was evidence of subtle behavioral effects at distances up to 2-4 km (1.1-2.2 n.mi.).",6,High,Avoidance,Not measured/reported
